Input,Base Model Output,Fine-tuned Output,Match
It is better than my old acer laptop.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""acer laptop"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""acere laptop"",""polarity"":""negative""},{""term"":""new device"",""polarity"":""positive""}]}",False
"This thing is awesome, everything always works, everything is always easy to set up, everything is compatible, its literally everything I could ask for.","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""awesome"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""everything"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""always works"",","{""domain"":""general"",""aspects"":[{""term"":""thing"",""polarity"":""positive""},{""term"":""everything"",""polarity"":""positive""}]}",False
I would buy it again in a heartbeat!,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""buying experience"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""it"",""polarity"":""positive""}]}",False
Keyboard responds well to presses.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""keyboard"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Keyboard"",""polarity"":""positive""}]}",False
If someone called me an Apple Fanboy...it would make sense.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""Apple Fanboy"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Apple Fanboy"",""polarity"":""neutral""}]}",False
"Lastly, Windows 8 is annoying.","```json
{
    ""domain"": ""general"",
    ""aspects"": [
        {
            ""term"": ""Windows 8"",
            ""polarity"": ""negative""
        }
    ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Windows 8"",""polarity"":""negative""}]}",False
"A scratch on a 1,500 MacBook is unforgivable.","```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""MacBook"",
            ""polarity"": ""negative""
        }
    ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Scratch"",""polarity"":""negative""}]}",False
I just fell in love with this thing.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""thing"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""this thing"",""polarity"":""positive""}]}",False
Everything is so easy and intuitive to setup or configure.,"```json
{
  ""domain"": ""software"",
  ""aspects"": [
    {
      ""term"": ""setup"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""configure"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Setup or configure"",""polarity"":""positive""}]}",False
"I have no problems yet on my mac so far, and hope it stays like that.","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""Mac"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""mac"",""polarity"":""positive""}]}",False
This laptop is a great buy.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""laptop"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""laptop"",""polarity"":""positive""}]}",False
Biggest complaint is Windows 8 .,"```json
{
    ""domain"": ""software"",
    ""aspects"": [
        {
            ""term"": ""Windows 8"",
            ""polarity"": ""negative""
        }
    ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Windows 8"",""polarity"":""negative""}]}",False
Only 2 usb ports...seems kind of...limited.,"```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""usb ports"",
            ""polarity"": ""negative""
        }
    ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""usb ports"",""polarity"":""negative""}]}",False
It has been to early to see if this actually fixes the problem or not though.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""time"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""fixing the problem"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""this"",""polarity"":""neutral""}]}",False
This device has met my expectations and I'm sure it will meet yours.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""device"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Device"",""polarity"":""positive""}]}",False
It has all the expected features and more plus a wide screen and more than roomy keyboard.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""screen"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""keyboard"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Features"",""polarity"":""positive""},{""term"":""Screen size"",""polarity"":""positive""},{""term"":""Keyboard"",""polarity"":""positive""}]}",False
"Out of all the laptops I have owned, this is by far the best!","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""laptops"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""best"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""laptops"",""polarity"":""positive""}]}",False
Amazing Performance for anything I throw at it.,"```json
{
  ""domain"": ""software"",
  ""aspects"": [
    {
      ""term"": ""performance"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Performance"",""polarity"":""positive""}]}",False
"I can never go back to a PC now, this machine never freezes or has any problems.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""PC"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""machine"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""PC"",""polarity"":""negative""},{""term"":""machine"",""polarity"":""positive""}]}",False
Out of the box I noticed how small it was and was exactly what I was looking for.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""box"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""small"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""what I was","{""domain"":""general"",""aspects"":[{""term"":""Size"",""polarity"":""positive""}]}",False
The receiver was full of superlatives for the quality and performance.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""receiver"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""quality"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""performance"",","{""domain"":""electronics"",""aspects"":[{""term"":""Quality"",""polarity"":""positive""},{""term"":""Performance"",""polarity"":""positive""}]}",False
I was extremely happy with the OS itself.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""OS"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""OS"",""polarity"":""positive""}]}",False
I was looking for something in between a regular laptop and a tablet and this is it.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""laptop"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""tablet"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""regular laptop"",""polarity"":""neutral""},{""term"":""tablet"",""polarity"":""neutral""}]}",False
The new MBP offers great portability and gives us confidence that we are not going to need to purchase a new laptop in 18 months.,"```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""MBP"",
            ""polarity"": ""positive""
        },
        {
            ""term"": ""portability"",
            ""polarity"": ""positive""
        },
        {
            ""term"": ""confidence","{""domain"":""electronics"",""aspects"":[{""term"":""portability"",""polarity"":""positive""},{""term"":""laptop"",""polarity"":""neutral""}]}",False
Great purchase and I definitely didn't miss out on the Black Friday deals.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Black Friday deals"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""purchase"",""polarity"":""positive""},{""term"":""Black Friday deals"",""polarity"":""positive""}]}",False
"The criticism has waned, and now I'd be the first to recommend an Air for truly portable computing.","```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""Air (device)"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Air"",""polarity"":""positive""}]}",False
I would have given it 5 starts was it not for the fact that it had Windows 8,"```json
{
    ""domain"": ""software"",
    ""aspects"": [
        {
            ""term"": ""Windows 8"",
            ""polarity"": ""negative""
        }
    ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Windows 8"",""polarity"":""negative""}]}",False
"MS Office 2011 for Mac is wonderful, well worth it.","```json
{
  ""domain"": ""software"",
  ""aspects"": [
    {
      ""term"": ""MS Office 2011 for Mac"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""MS Office 2011 for Mac"",""polarity"":""positive""}]}",False
"After using it for over a month, an issue started to surface.","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""issue"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""it"",""polarity"":""neutral""}]}",False
But the performance of Mac Mini is a huge disappointment.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""performance"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Performance"",""polarity"":""negative""}]}",False
There has been no problem with anything.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""problem"",
      ""polarity"": ""neutral""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""anything"",""polarity"":""neutral""}]}",False
I believe with Apple  you get what you pay for.,"```json
{
    ""domain"": ""electronics"",
    ""aspects"": [
        {
            ""term"": ""Apple"",
            ""polarity"": ""positive""
        }
    ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""Apple"",""polarity"":""negative""}]}",False
They don't just look good they deliver excellent performance.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""design"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""performance"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""electronics"",""aspects"":[{""term"":""look"",""polarity"":""positive""},{""term"":""performance"",""polarity"":""positive""}]}",False
I have had it over a year now with out a Glitch of any kind..I love the lit up keys and screen display...this thing is Fast and clear as can be.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""glitches"",
      ""polarity"": ""negative""
    },
    {
      ""term"": ""lit-up keys"",
      ""polarity"": ""positive""
    },
    {
      ""term"": ""","{""domain"":""electronics"",""aspects"":[{""term"":""Glitch"",""polarity"":""negative""},{""term"":""Lit up keys"",""polarity"":""positive""},{""term"":""Screen display"",""polarity"":""positive""},{""term"":""Fast"",""polarity"":""positive""},{""term"":""Clear"",""polarity"":""positive""}]}",False
The product is prefect for everyone.,"```json
{
  ""domain"": ""electronics"",
  ""aspects"": [
    {
      ""term"": ""product"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""Product"",""polarity"":""positive""}]}",False
The Mountain Lion OS is not hard to figure out if you are familiar with Microsoft Windows.,"```json
{
  ""domain"": ""software"",
  ""aspects"": [
    {
      ""term"": ""Mountain Lion OS"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Mountain Lion OS"",""polarity"":""positive""},{""term"":""Microsoft Windows"",""polarity"":""neutral""}]}",False
"However, I can refute that OSX is ""FAST"".","```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""OSX"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""OSX"",""polarity"":""negative""}]}",False
I waited to review to make sure it is what it is.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""review"",
      ""polarity"": ""neutral""
    },
    {
      ""term"": ""waiting"",
      ""polarity"": ""negative""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""review"",""polarity"":""neutral""}]}",False
Enjoy using Microsoft Office!,"```json
{
  ""domain"": ""software"",
  ""aspects"": [
    {
      ""term"": ""Microsoft Office"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""software"",""aspects"":[{""term"":""Microsoft Office"",""polarity"":""positive""}]}",False
I would suggest this product to anyone.,"```json
{
  ""domain"": ""general"",
  ""aspects"": [
    {
      ""term"": ""product"",
      ""polarity"": ""positive""
    }
  ]
}
```","{""domain"":""general"",""aspects"":[{""term"":""this product"",""polarity"":""positive""}]}",False
